school_id,school_name,solar_present,solar_present_confidence,solar_area_m2,solar_area_m2_confidence,portable_classrooms_count,portable_classrooms_count_confidence,running_track,running_track_confidence,full_size_sports_fields_count,full_size_sports_fields_count_confidence,hard_courts_count,hard_courts_count_confidence,pool_present,pool_present_confidence,imagery_date
10282001124,Wedowee Middle School,No,0.6,0,0,No,0.3,No,0.6,0,0.3,0,0.3,No,0.9,2023
40963000996,Kofa High School,Yes,0.6,12,0.3,No,0.6,Yes,0.9,1,0.9,6,0.9,No,0.3,2023
60483000471,Beverly Hills High,No,0.3,0,0,No,0.3,Yes,0.9,1,0.9,6,0.9,No,0.6,2022
61734009378,Cerra Vista Elementary,Yes,0.6,4,0.3,No,0.6,No,0.3,1,0.9,0,0.3,No,0.6,2022
60001909278,Wells Middle,No,0.6,0,0,No,0.6,Yes,0.6,2,0.9,0,0.3,No,0.9,2022
130333001308,Lincoln County Elementary School,No,0.6,0,0,No,0.3,No,0.3,No,0.6,No,0.6,No,0.6,2023
160264000465,CLAUDE A WILCOX ELEMENTARY SCHOOL,No,0.9,0,0,No,0.9,No,0.6,1,0.9,0,0.6,No,0.9,2023
160000100084,PRIEST RIVER LAMANNA HIGH,No,0.9,0,0,No,0.9,Yes,0.9,1,0.9,0,0.9,No,0.9,2023
180283000341,Zionsville Community High School,No,0.9,0,0,No,0.9,Yes,0.9,1,0.9,0,0.9,No,0.9,2022
240039000683,Bel Air High,Yes,0.9,20,0.3,No,0.9,Yes,0.9,3,0.6,6,0.3,No,0.9,2023
263039006679,Thompson Middle School,No,0.3,0,0,No,0.3,Yes,0.9,1,0.6,0,0.3,No,0.3,2022
270543000204,Bertha Secondary,No,0.9,0,0,No,0.9,No,0.9,2,0.3,0,0.3,No,0.9,2023
330246000063,Rundlett Middle School,No,0.3,0,0,No,0.3,No,0.6,0,0.3,0,0.6,No,0.9,2023
341560004108,Spring Lake Heights Elementary School,No,0.3,0,0,No,0.3,No,0.6,2,0.6,0,0.3,No,0.6,2023
360008802312,PS 78 ANNE HUTCHINSON,No,0.3,0,0,No,0.3,No,0.3,0,0.6,0,0.3,No,0.3,2022
390494903613,Adena Elementary School,No,0.6,0,0,No,0.6,No,0.6,0,0.6,0,0.3,No,0.6,2023
390458502363,Ridgeview Elementary School,No,0.3,0,0,No,0.3,Yes,0.9,1,0.9,0,0.3,No,0.6,2023
402277001928,EMERSON ALTERNATIVE ED. (HS),No,0.3,0,0,No,0.3,No,0.3,0,0.3,0,0.3,No,0.3,2023
401452000682,HILLDALE LOWER ES,No,0.3,0,0,No,0.3,No,0.6,1,0.6,0,0.3,No,0.9,2023
421917006915,Pittsburgh Brashear HS,No,0.3,0,0,No,0.3,No,0.6,1,0.9,3,0.9,No,0.9,2022
421929000163,Pleasant Valley El Sch,No,0.6,0,0,No,0.6,Yes,0.6,2,0.9,2,0.9,No,0.9,2022
450387001491,India Hook Elementary,No,0.3,0,0,No,0.3,No,0.6,0,0.3,1,0.3,Yes,0.6,2023
481455000943,COLEMAN H S,No,0.6,0,0,No,0.6,Yes,0.9,3,0.6,2,0.6,No,0.6,2022
481623001325,PAUL L DUNBAR LEARNING CENTER,No,0.3,0,0,No,0.3,No,0.6,0,0.3,1,0.6,No,0.3,2022
550957000382,Northside Intermediate,No,0.3,0,0,No,0.3,No,0.6,0,0.3,0,0.3,No,0.3,2022
