school_id,school_name,district,city,state,level,enrollment_2024,latitude,longitude
010282001124,Wedowee Middle School,Randolph County,Wedowee,AL,Middle,199,33.313157,-85.495877
040963000996,Kofa High School,Yuma Union High School District,Yuma,AZ,High,1976,32.6743,-114.636
060483000471,Beverly Hills High,Beverly Hills Unified,Beverly Hills,CA,High,1173,34.061692,-118.412181
061734009378,Cerra Vista Elementary,Hollister,Hollister,CA,Primary,602,36.829411,-121.372331
060001909278,Wells Middle,Dublin Unified,Dublin,CA,Middle,1041,37.711839,-121.918954
130333001308,Lincoln County Elementary School,Lincoln County,Lincolnton,GA,Primary,602,33.796652,-82.49178
160264000465,CLAUDE A WILCOX ELEMENTARY SCHOOL,POCATELLO DISTRICT,Pocatello,ID,Primary,464,42.898474,-112.47438
160000100084,PRIEST RIVER LAMANNA HIGH,WEST BONNER COUNTY DISTRICT,Priest River,ID,High,396,48.189478,-116.917391
180283000341,Zionsville Community High School,Zionsville Community Schools,Zionsville,IN,High,2338,39.9611,-86.274
240039000683,Bel Air High,Harford County Public Schools,Bel Air,MD,High,1341,39.531077,-76.348008
263039006679,Thompson Middle School,Saginaw School District of the City of,Saginaw,MI,Middle,585,43.4324,-83.986401
270543000204,Bertha Secondary,BERTHA-HEWITT PUBLIC SCHOOL DIST.,Bertha,MN,High,213,46.263877,-95.062093
330246000063,Rundlett Middle School,Concord School District,Concord,NH,Middle,767,43.189478,-71.543379
341560004108,Spring Lake Heights Elementary School,SPRING LAKE HEIGHTS SCHOOL DISTRICT,Spring Lake Heights,NJ,Primary,292,40.154128,-74.036948
360008802312,PS 78 ANNE HUTCHINSON,NEW YORK CITY GEOGRAPHIC DISTRICT #11,Bronx,NY,Primary,613,40.8786,-73.8507
390494903613,Adena Elementary School,Adena Local,Frankfort,OH,Primary,524,39.41589,-83.193859
390458502363,Ridgeview Elementary School,Buckeye Local,Ashtabula,OH,Primary,397,41.874048,-80.763807
402277001928,EMERSON ALTERNATIVE ED. (HS),OKLAHOMA CITY,Oklahoma City,OK,High,530,35.4747,-97.5221
401452000682,HILLDALE LOWER ES,HILLDALE,Muskogee,OK,Primary,952,35.710378,-95.370948
421917006915,Pittsburgh Brashear HS,Pittsburgh SD,Pittsburgh,PA,High,897,40.4186,-80.0181
421929000163,Pleasant Valley El Sch,Pleasant Valley SD,Kunkletown,PA,Primary,899,40.912699,-75.472289
450387001491,India Hook Elementary,York 03,Rock Hill,SC,Primary,495,35.003148,-81.022339
481455000943,COLEMAN H S,COLEMAN ISD,Coleman,TX,High,229,31.809203,-99.424587
481623001325,PAUL L DUNBAR LEARNING CENTER,DALLAS ISD,Dallas,TX,Primary,608,32.77488,-96.749203
550957000382,Northside Intermediate,Milton School District,Milton,WI,Middle,794,42.78247,-88.94737
